# 暑假作业章节清单（顺序即作业本顺序）
# 格式：章节id | 标题
# 标题与作业本原标题一致；原书中「专题06」「专题08」各出现两次且标题完全相同，
# 这里按答案册的写法补了结尾的 1 / 2，否则菜单上会出现两个一模一样的选项。
zt01 | 专题01 动力学中的传送带模型1
zt02 | 专题02 动力学中的传送带模型2
zt03 | 专题03 动力学中的滑块木板模型1
zt04 | 专题04 动力学中的滑块木板模型2
zt05 | 专题05 功和功率1
zt06 | 专题05 功和功率2
zt07 | 专题06 动能定理 机械能守恒定律1
zt08 | 专题06 动能定理 机械能守恒定律2
zt09 | 专题07 静电场中的基本概念与定律1
zt10 | 专题07 静电场中的基本概念与定律2
zt11 | 专题08 静电场中的一线一面1
zt12 | 专题08 静电场中的一线一面2
zt13 | 专题9 带电粒子在电场中的运动1
zt14 | 专题9 带电粒子在电场中的运动2
zt15 | 专题10 电路及其应用
